heading,news_description,page_link,place,time_stamp
INX Media case | Delhi court adjourns hearing against P. Chidambaram for July 9," A Delhi court on Tuesday adjourned for two weeks a money laundering case allegedly involving former union minister P. Chidambaram, in relation to INX Media scam. Special Judge MK Nagpal posted the matter for hearing on July 9 due to ongoing coronavirus pandemic. The judge noted that the court was only hearing urgent matters. Mr Chidambaram was arrested by the Central Bureau of Investigation (CBI) in the INX Media corruption case on August 21, 2019. On October 16, 2019, the ED arrested him in a related money-laundering case. Six days later, on October 22, the apex court granted bail to Mr Chidambaram in the case lodged by the CBI. In the ED case, he got bail on December 4, 2019. The CBI had registered its case on May 15, 2017, alleging irregularities in a Foreign Investment Promotion Board (FIPB) clearance granted to the INX Media group for receiving overseas funds of ₹305 crore in 2007, during Chidambaram's tenure as finance minister. Subsequently, the ED had lodged the money-laundering case. His son Karti Chidambaram was arrested by CBI in February 2018 and he was granted bail in March 2018 in INX Media corruption case. He was granted interim bail from the Delhi high court in the money laundering case. ",https://www.thehindu.com/news/national/delhi-court-adjourns-inx-media-case-against-p-chidambaram-for-july-9/article34909740.ece,New Delhi,"June 22, 2021 18:44 IST"
Rural areas administered more doses than urban in record COVID vaccination on June 21: Government," As India achieved a ""historic milestone"" of administering 88.09 lakh coronavirus vaccine doses in a single day on June 21, nearly 64 per cent of the jabs were given in rural areas, the government said on Tuesday.  Madhya Pradesh administered the maximum number of doses on June 21, followed by Karnataka, Uttar Pradesh, Bihar, Haryana, Gujarat, Rajasthan, Tamil Nadu, Maharashtra and Assam, an official said.  Addressing a joint press conference on the pandemic situation and vaccination status, the official said, ""A historic milestone was achieved on 21st June 2021 -- 88.09 lakh doses administered in a single day."" Of the doses, 36.32 per cent were administered in urban areas and 63.68 per cent in rural areas, the official said.  Since the vaccination began in mid-January, India has administered 29.16 crore doses of COVID-19 vaccines till 3 pm on June 22, he said.  The government also said the coronavirus situation has been improving in the country but stressed on following COVID-19-appropriate behaviours.  It said there has been an almost 90 per cent decline in India's daily COVID-19 cases as compared to the highest peak reported on May 7. It said 22 cases of delta plus variant of the coronavirus have been detected in the country so far, and added that it's still not a variant of concern.  Of the 22 cases of delta plus variant, 16 have been reported from Ratnagiri and Jalgaon in Maharashtra and the rest from Madhya Pradesh and Kerala, the government added.  India recorded less than 50,000 new coronavirus infections, the lowest in 91 days, taking the total tally of cases to 2,99,77,861, while active cases fell below 7 lakh after 79 days, according to the Union Health Ministry data updated on Tuesday.  A total of 42,640 Covid infections were reported in a day, while the death toll climbed to 3,89,302 with 1,167 daily fatalities, the lowest in 68 days. ",https://www.thehindu.com/news/national/rural-areas-administered-more-doses-than-urban-in-record-covid-vaccination-on-june-21-government/article34908192.ece,New Delhi,"June 22, 2021 18:15 IST"
"Stop playing politics over pandemic, BJP tells Rahul","Hours after Congress leader Rahul Gandhi released a ‘white paper’ on the Union government’s handling of COVID-19 crisis and termed it disastrous, the BJP accused him of playing politics over the pandemic and of the Congress-ruled States managing the pandemic badly. BJP national spokesperson Sambit Patra addressed a press conference at the party’s headquarters in New Delhi to launch an attack on the Congress. “Since yesterday we have been fearing this. Whenever something good happens in our fight against coronavirus, the Congress and Rahul Gandhi specially do something to derail it,” he said. “Yesterday was a significant day when India became the first country in the world to administer 87 lakh vaccine doses in one day. People seemed excited and jubilant. There is a feeling that India is winning in its fight against coronavirus, just then Rahul Gandhi spoke of white paper and tried to derail it,” he stated. “Whenever we are at a crossroads in our fight, Rahul Gandhi and the Congress party have tried to derail the efforts by playing politics. In fact, the Congress has really worked tirelessly to create hurdles and obstacles in our path,” he alleged. Mr. Patra accused the Congress-led States of mishandling the pandemic, even saying that the second wave began with a Congress-ruled State. The most number of those infected were from the Congress-ruled States and so were the most number of deaths. The maximum vaccine hesitancy was seen in the Congress-ruled States and so was the highest COVID-19 positivity rate, he observed. “The demand for decentralisation of vaccines came from the Congress-ruled States and the U-turn demanding centralisation too came from them. Instead of virtual press conferences and white papers, Rahul Gandhi should go to such States and give them this data,” he said. Mr. Patra called Mr. Gandhi “confused” and charged the Congress with making contradictory demands. “First they called the lockdown ‘Tughlaki’, then they questioned why there was no lockdown.... They promoted vaccine hesitancy... I would like to ask Rahul Gandhi how long will he conduct just virtual press conferences? When will you do some real work? Go to the States ruled by your party and see the situation there. How vaccines are being wasted in Rajasthan, how vaccine profiteering is happening in Punjab and how Chhattisgarh is misusing vaccines. Go to the ground and survey,” he added. ",https://www.thehindu.com/news/national/stop-playing-politics-over-pandemic-bjp-tells-rahul/article34908165.ece,NEW DELHI,"June 22, 2021 18:13 IST"
PM hails ‘Centre-State bhagidari’ in ushering ‘reforms by conviction and incentives’ during Covid,"India has moved from a model of ‘reforms by stealth and compulsion’ to a new model of ‘reforms by conviction and incentives’, Prime Minister Narendra Modi said on Tuesday, referring to States being granted additional borrowing limits last year under a reform-linked window.  Raising enough resources for public welfare while ensuring sustainability is proving to be one of the biggest challenges for governments during the pandemic, the Prime Minister pointed out, but Indian States were able to borrow an extra ₹1.06 lakh crore in 2020-21.   “For a large nation with complex challenges as ours, this was a unique experience. We have often seen that for various reasons, schemes and reforms remain un-operational often for years,” he said in a post on the job search and social networking portal LinkedIn.  Seventeen States that facilitated Ration card portability and installed electronic point of sale devices at fair price shops, were granted additional borrowings amounting to ₹37,600 crore, the Prime Minister noted. Similarly, 20 States completed reforms to ease the red tape faced by businesses to avail borrowings of ₹39,521 crore.  “The third reform required States to notify floor rates of property tax and of water & sewerage charges, in consonance with stamp duty guideline values for property transactions and current costs respectively, in urban areas. 11 states completed these reforms and were granted additional borrowing of ₹15,957 crore,” he added, stressing that the urban poor would benefit the most from this step.   The least traction was seen for the Union government’s reform idea of replacing free electricity for farmers with a Direct Benefit Transfer. States were asked to frame a scheme with actual implementation in one district on a pilot basis by the end of 2021, for an additional borrowing limit of 0.15% of GSDP. Loans worth another 0.10% of GSDP were linked to reducing the gap between revenues and costs and reducing technical and commercial losses in the power sector. “13 states implemented at least one component, while 6 states implemented the DBT component. As a result, ₹13,201 crore of additional borrowings was permitted,” the Prime Minister said in his post.   “This nudge for reform is rare in Indian public finance. This was a nudge, incentivising the states to adopt progressive policies to avail additional funds. The results of this exercise are not only encouraging but also run contrary to the notion that there are limited takers for sound economic policies,” Mr. Modi emphasised.  ",https://www.thehindu.com/news/national/pm-hails-centre-state-bhagidari-in-ushering-reforms-by-conviction-and-incentives-during-covid/article34905689.ece,New Delhi,"June 22, 2021 17:00 IST"
No balance doses of direct state procurement pending with Covid vaccine manufacturers: Government," The health ministry on Tuesday said the Centre had ensured that the full supplies of COVID-19 vaccines under direct state procurement were provided to the States concerned before June 21. The ministry issued a statement, saying certain media reports have alleged non-supply of free vaccines for the 18-44 priority age group to the Delhi government amid the ongoing free COVID-19 vaccination drive. ""It is clarified that the Government of India had ensured that full supplies of COVID-19 vaccines under the direct state procurement were provided to the concerned States before June 21,"" the statement said. According to the state procurement data, the allocated 5.6 lakh doses of direct state procurement were supplied to Delhi before June 21 by the vaccine manufacturers. Further, an additional 8.8 lakh vaccine doses under the Centre's procurement were provided to Delhi for free and more are in the pipeline, which will be supplied by June-end, the statement said. As on June 22, Delhi has over 9.9 lakh unutilised doses of Covid vaccines, it added. With effect from June 21, both the state government and Government of India supplies, irrespective of the type of supply, are to be used to vaccinate people above 18 years of age as all categories of priority groups are now unified and are to be provided vaccination for free at the state-designated government Covid vaccination centres (CVCs), the statement said. ",https://www.thehindu.com/news/national/no-balance-doses-of-direct-state-procurement-pending-with-covid-vaccine-manufacturers-government/article34906481.ece,New Delhi,"June 22, 2021 17:22 IST"
U.K. liaison officer joins Navy’s information fusion centre,"A United Kingdom liaison officer on Tuesday joined the Indian Navy’s Information Fusion Centre for Indian Ocean Region (IFC-IOR), which is meant for maritime domain awareness. The centre is located in Gurugram. “Lt Cdr Stephen Smith will be based full-time at the centre, working directly with the Indian armed forces and fellow liaison officers from partner nations to enhance maritime domain awareness in the region,” a statement from the U.K. High Commission said. This is an enduring commitment from the U.K. and a new Royal Navy officer will be posted here every two years. The U.K. formally confirmed accepting India’s offer to place a liaison officer in the IFC-IOR in 2019. “The IFC-IOR is an excellent platform to enable closer engagement and ensure greater sharing of information on vessels of interest. The U.K. and the Indian armed forces already enjoy high levels of interoperability, which will be on full display during the upcoming visit of the U.K.’s Carrier Strike Group, led by one of our largest aircraft carriers – HMS Queen Elizabeth,” said Brig Gavin Thompson, Defence Adviser at the High Commission. The IFC-IOR was set up in 2018 to coordinate with regional countries on maritime country and act as a regional repository of maritime data. It presently has linkages with 21 partner countries and 22 multi-national agencies across the globe. International Liaison Officers (ILO) from 13 countries have been invited, and ILOs from countries had joined earlier- Australia, France, Japan and the U.S.. The U.K. is the 5th country to post an ILO. ",https://www.thehindu.com/news/national/britain-posts-liaison-officer-at-indian-navys-information-fusion-centre/article34905498.ece,New Delhi,"June 22, 2021 16:53 IST"
U.K. liaison officer joins Navy’s information fusion centre,"A United Kingdom liaison officer on Tuesday joined the Indian Navy’s Information Fusion Centre for Indian Ocean Region (IFC-IOR), which is meant for maritime domain awareness. The centre is located in Gurugram. “Lt Cdr Stephen Smith will be based full-time at the centre, working directly with the Indian armed forces and fellow liaison officers from partner nations to enhance maritime domain awareness in the region,” a statement from the U.K. High Commission said. This is an enduring commitment from the U.K. and a new Royal Navy officer will be posted here every two years. The U.K. formally confirmed accepting India’s offer to place a liaison officer in the IFC-IOR in 2019. “The IFC-IOR is an excellent platform to enable closer engagement and ensure greater sharing of information on vessels of interest. The U.K. and the Indian armed forces already enjoy high levels of interoperability, which will be on full display during the upcoming visit of the U.K.’s Carrier Strike Group, led by one of our largest aircraft carriers – HMS Queen Elizabeth,” said Brig Gavin Thompson, Defence Adviser at the High Commission. The IFC-IOR was set up in 2018 to coordinate with regional countries on maritime country and act as a regional repository of maritime data. It presently has linkages with 21 partner countries and 22 multi-national agencies across the globe. International Liaison Officers (ILO) from 13 countries have been invited, and ILOs from countries had joined earlier- Australia, France, Japan and the U.S.. The U.K. is the 5th country to post an ILO. ",https://www.thehindu.com/news/national/britain-posts-liaison-officer-at-indian-navys-information-fusion-centre/article34905498.ece,New Delhi,"June 22, 2021 16:53 IST"
Rahul Gandhi releases White Paper on Centre’s handling of COVID-19,"Former Congress president Rahul Gandhi on Tuesday claimed at a press meet that 90 % of the deaths during the second wave of the COVID-19 pandemic were “needless” as lives could have been saved if oxygen and medicines were available. Releasing a white paper on the , he said it should now prepare for a third wave by ramping up health infrastructure and vaccinating citizens on a war footing so that the virus did not get a ‘chance’ to mutate. The white paper suggests the creation of a COVID-19 compensation fund and a commission to find out “what went wrong” in the fight against the previous waves. Taking a dig at Prime Minister Narendra Modi for getting emotional in one of his virtual addresses, Mr. Gandhi said,“The Prime Minister’s tears cannot wipe the tears of those who lost their loved ones. The Prime Minister’s tears did not save their lives but oxygen may have saved them. The Prime Minister didnt take this seriously. He was busy fighting elections in Bengal and his focus was in another direction”. The purpose of the white paper was not to point fingers at the government, but to help it deal with the third wave by preparing a blueprint to react, he stressed. In a subsequent tweet, he said the government of India “must work on our constructive inputs in the interest of the country”. “This is a blueprint on how to react to the third wave, which is going to come. It is our intention to provide the government with information and insights on what went wrong,” he said, adding, “If the second wave was bad, the third wave would be worse”. The white paper, he observed, was the result of extensive discussions held with experts and within the Congress structure and had four main pillars. The first pillar talked about what went wrong and the Congress’s suggestions, including one to have a commission to probe the shortcomings; the second one focussed on developing the critical infrastructure such as oxygen supply and hospital beds; the third one highlighted financial assistance to the poorest families and the final one was about creation of a COVID-19 fund to compensate the families that have lost the breadwinner. The corona virus was not just a biological phenomena but also an economic and social phenomena and that’s why economic support must be given to the poorest people as well as small and medium businesses, Mr. Gandhi asserted. “The Centre is making ₹ 4 lakh crore from taxes on diesel and petrol every year. It is taking money out of the pockets of people who have lost family members. So, I don’t understand, why it can’t put some money back into their pocket,” he noted. The white paper release coincided with  hosting a section of Opposition leaders at his residence. Asked to comment about it, Mr. Gandhi said, “I am not going to distract you or myself by getting into what is going on in the politics and what is going on here and there. There is a time and place to that discussion and I am happy to talk to you at that time”. ",https://www.thehindu.com/news/national/rahul-gandhi-releases-white-paper-on-centres-handling-of-covid-19/article34903477.ece,New Delhi,"June 22, 2021 16:04 IST"
Narada case | Supreme Court judge recuses himself from hearing Mamata appeal,"Supreme Court judge Justice Aniruddha Bose on Tuesday recused himself from  by West Bengal Chief Minister Mamata Banerjee, Law Minister Moloy Ghatak and West Bengal government against the Calcutta High Court’s refusal to immediately consider their affidavits countering allegations about their role on the day of arrest of four TMC leaders by the CBI in the Narada sting tape case. Following Justice Bose's decision, the Bench headed by Justice Hemant Gupta ordered the petitions to be placed before another Bench. Justice Bose was formerly a judge in the Calcutta High Court. His recusal comes within a few days of another former Calcutta HC judge, , withdrawing from hearing a petition filed by the families of two BJP activists allegedly killed in the post-poll violence in West Bengal. The Narada case, from which Justice Bose recused in the morning, came up for hearing again before a Bench of Justices Vineet Saran and Dinesh Maheshwari in the course of the day. However, this Bench, on the consent of the parties, adjourned the hearing to June 25. The parties assured that the case would be concluded on Friday itself. The Saran Bench further requested the Calcutta High Court, which is seized of the Narada case, to not take up the matter for hearing before June 25. The High Court had scheduled a hearing on June 23. On June 18, a Vacation Bench of Justices Hemant Gupta and V. Ramasubramanian had requested the Calcutta High Court to defer its scheduled hearing of the Narada case to June 23. On June 18, senior advocates Rakesh Dwivedi and Vikas Singh, for Mr. Ghatak and the State government, respectively, had said the affidavits were “essential” to the case and provided the truth about the events of May 17, the day of the arrest of the four TMC leaders. A separate plea by Ms. Banerjee in the Supreme Court during the weekend contended that the CBI was trying to malign the State Ministers without any proof to substantiate its allegations against them in the Narada case. She said it was essential to allow her to file an affidavit to counter the agency's claims that she “terrorised” them by protesting outside their office. ",https://www.thehindu.com/news/national/narada-case-sc-judge-recuses-himself-from-hearing-mamata-appeal/article34900037.ece,NEW DELHI,"June 22, 2021 12:52 IST"
Supreme Court adjourns Rajiv Gandhi case convict Perarivalan’s bail plea,"The Supreme Court on Tuesday adjourned by three weeks the hearing of a plea for bail filed by , who said that the “stalemate” over his release from prison was “completely political”. A Vacation Bench of Justices Vineet Saran and Dinesh Maheshwari was informed that the petitioner side had circulated a letter for adjournment of the case. Advocate Ashok Panigrahi, appearing for the Union of India, told the court about the adjournment letter. Advocate Joseph Aristotle represented the State of Tamil Nadu in the case. “After sleeping over for five years in the Article 161 (pardon) petition and sitting over the recommendation of the State Cabinet to release the petitioner for more than a good two-and-a-half years, the Union of India, on February 4, has filed an affidavit [in the Supreme Court] stating that Governor has sent the petition to the President, whereas the law is clear that Governor does not have independent discretion,” Perarivalan, represented by advocates Prabu Ramasubramanian and K. Paari Vendhan, has contended in the bail application. The bail application said Perarivalan had been “under the hangman’s noose for 16 years and 29 years in solitary confinement out of the total 30 years of incarceration”. He has suffered the pain and trauma of the death row syndrome. “The pain was equally felt by his ageing and fragile parents due to the uncertainty between life and death, and hope and despair,” the application said. Perarivalan was allowed parole only twice in 30 years. “There was not a single untoward incident, breach of condition or misconduct during the parole,” the application pointed out. ",https://www.thehindu.com/news/national/supreme-court-adjourns-rajiv-gandhi-case-convict-perarivalans-bail-plea/article34900146.ece,NEW DELHI: ,"June 22, 2021 13:07 IST"
"India records less than 50k COVID-19 cases in a day, lowest in 91 days"," India recorded less than 50,000 new coronavirus infections, the lowest in 91 days, taking the total tally of cases to 2,99,77,861, while active cases fell below 7 lakh after 79 days, according to the Union Health Ministry data updated on June 22.  A total of 42,640 COVID-19 infections were reported in a day, while the death toll climbed to 3,89,302 with 1,167 daily fatalities, the lowest in 68 days.  According to the data published at 7 a.m., India administered 86.16 lakh vaccine doses, the highest ever single-day vaccination achieved in the world so far, the Health Ministry said.  Cumulatively, 28.87 crore vaccine doses have been administered so far under the nationwide inoculation drive.  The active cases have further declined to 6,62,521, comprising 2.21% of the total infections, while the national COVID-19 recovery rate has improved to 96.49%, the data updated at 8 a.m. showed.  A net decline of 40,366 cases has been recorded in the caseload in a span of 24 hours.  Also, 16,64,360 tests were conducted on June 21, taking the total cumulative tests conducted so far for detection of COVID-19 in the country to 39,40,72,142, while the daily positivity rate has declined to 2.56%. It has been less than 5% for 15 consecutive days, the Ministry said.  The weekly positivity rate has declined to 3.21%.  Recoveries have outnumbered daily new cases for 40 consecutive days.  The number of people who have recuperated from the disease surged to 2,89,26,038, while the case fatality rate stands at 1.30%, the data stated.  India's COVID-19 tally had crossed the 20-lakh mark on August 7, 30 lakh on August 23, 40 lakh on September 5 and 50 lakh on September 16. It went past 60 lakh on September 28, 70 lakh on October 11, crossed 80 lakh on October 29, 90 lakh on November 20 and surpassed the one-crore mark on December 19. India crossed the grim milestone of 2 crore on May 4. ",https://www.thehindu.com/news/national/india-records-less-than-50k-covid-19-cases-in-a-day-lowest-in-91-days/article34899801.ece,New Delhi,"June 22, 2021 12:30 IST"
SC asks Tamil Nadu to hold local body polls in newly carved districts by Sept. 15," The Supreme Court on Tuesday gave the Tamil Nadu State Election Commission (SEC) time to work, if necessary 24 hours a day, and hold the local body elections in nine newly carved districts of the State by September 15. “Holding of elections is a constitutional obligation,” a Vacation Bench of Justices Hemant Gupta and Aniruddha Bose said. The court was not impressed by the SEC’s fervent pleas that COVID-19 was at its peak in the State. “COVID has become a good excuse in all matters. For two years, you have not conducted the elections... Now you conduct the elections before the third wave arrives... We know the reality in these matters, unless and until political parties are ready, elections are not held,” Justice Gupta said. The court said the notification for the elections was issued in 2019. “The delimitation was supposed to be done in four months,” Justice Gupta observed. The tenure of the previous local body had ended in 2018-2019. Appearing for the State poll body, senior advocate P. Narasimha said the local body elections had already been held, following which the nine districts were carved out. The delimitation had to be done before holding the elections. There was no delay on the part of the SEC. The pandemic had hit the State in the meanwhile. The court initially said the polls in the districts should be held in two months by August 31. Mr. Narasimha said two months was too short. He urged for more time. The election machinery had been moved to West Bengal for the recent Assembly elections, and it would take time for it to be set up in Tamil Nadu. “This is not about the efficiency of administration. It is a health matter... Tamil Nadu is having the highest number of COVID cases,” the senior lawyer said. Senior advocate P. Wilson, for Tamil Nadu, agreed with Mr. Narasimha, submitting that considering the “unusual circumstances (caused by COVID-19), what SEC says was true”. Justice Gupta, however, stood firm initially. “If you do not want August 31, then we will say August 15”. However, the Bench had a short discussion, after which Justice Gupta informed the lawyers that Justice Bose was agreeable to extending the deadline for the elections to September 15. “We grant extension of time till September 15 to complete the entire process,” Justice Gupta said in the order. In December last year, the Supreme Court had granted six months’ extension to complete the delimitation exercise and conduct the local body elections in the nine districts. A Bench led by then Chief Justice of India Sharad A. Bobde had allowed an application filed by the State Election Commission to complete the delimitation exercise in these districts which was interrupted by the advent of the pandemic in March. The court had, on December 11 last year, ordered the completion of the delimitation exercise to the nine districts in three months. The districts in question are Kancheepuram, Chengalpattu, Vellore, Thirupathur, Ranipet, Villupuram, Kallakurichi, Tirunelveli and Tenkasi. ",https://www.thehindu.com/news/national/sc-asks-tamil-nadu-to-hold-local-body-polls-in-newly-carved-districts-by-sept-15/article34899713.ece,NEW DELHI,"June 22, 2021 12:23 IST"
"Model Tenancy Act is a model Act, says Puri"," Housing and Urban Affairs Minister Hardeep Puri on Wednesday addressed concerns about the Model Tenancy Act, reiterating that it was a “model Act” and that it would have to be passed by the States. Mr. Puri was responding to concerns in Maharashtra that the Act would lead to a spike in rent for those living in rent-controlled buildings. The model Act, however, will be applicable to future agreements and not to existing ones. “Rumours are being spread in Maharashtra about the Model Tenancy Act 2021…People should first read the Act before resorting to fake narratives. It is a Model Act. Legislation has to be passed by the state,” Mr. Puri said in a tweet, sharing the video of his media interaction about the Act on June 3. ",https://www.thehindu.com/news/national/model-tenancy-act-is-a-model-act-says-puri/article34927194.ece,NEW DELHI,"June 23, 2021 16:36 IST"
Cabinet approves additional foodgrain till November,"The Union Cabinet on Wednesday approved the allocation of additional foodgrain to beneficiaries of the National Food Security Act (NFSA) for another five months- from July to November. The Cabinet, at a meeting chaired by Prime Minister Narendra Modi, approved the proposal to continue allocating  under the Pradhan Mantri Garib Kalyan Yojana to the 81.35 crore beneficiaries, a government statement said. The additional foodgrain would entail a subsidy of ₹64,031 crore, it noted. “As Government of India is bearing the entire expenditure towards this scheme without any contribution by States/UTs, an additional expenditure of about ₹3,234.85 crore would be required to be met towards transportation and handling and FPS dealers’ margins etc. by Government of India. Thus, the total estimated expenditure to be borne by Government of India will be ₹67,266.44 crore,” it stated. The total amount of foodgrain to be distributed was estimated to be 204 lakh metric tonnes. “Additional allocation will ameliorate the hardships faced by poor due to economic disruption caused by coronavirus. No poor family will suffer on account of non-availability of food-grains due to disruption in the next five months,” it added. ",https://www.thehindu.com/news/national/cabinet-approves-additional-foodgrain-till-november/article34927140.ece,NEW DELHI,"June 23, 2021 16:33 IST"
"Navy, IAF begin passage exercise with U.S. carrier group in Indian Ocean","The Indian Navy and the Air Force began a two-day passage exercise on Wednesday with U.S. Navy Carrier Strike Group Ronald Reagan during its transit through the Indian Ocean Region (IOR). “The Indian Naval warships along with aircraft from Navy and Indian Air Force (IAF) will be engaged in joint multi-domain operations with the U.S. Carrier Strike Group (CSG)...,” the Navy said. The exercise aims to strengthen the bilateral relationship and cooperation by demonstrating the ability to integrate and coordinate comprehensively in maritime operations. “This is what maritime theatre operations would look like. A CSG with integral air power and warships supported by land-based maritime aircraft,” a naval officer said. Naval ships INS Kochi and Teg, along with P-8I long-range maritime patrol aircraft and MiG 29K fighters, are participating in the exercise. For the exercise in the area of responsibility of the Southern Air Command, the IAF forces are operating from bases under four operational commands and include Jaguar and Su-30 MKI fighters, Phalcon and Netra early warning aircraft and IL-78 air to air refueller aircraft, an IAF statement said. The U.S.’s CSG comprises Nimitz class aircraft carrier Ronald Reagan, Arleigh Burke class guided missile destroyer USS Halsey and Ticonderoga class guided missile cruiser USS Shiloh. The U.S. carrier group is expected to field F-18 fighters and E-2C Hawkeye early warning aircraft for the exercise being carried out south of Thiruvananthapuram on the western seaboard. “High tempo operations during the exercise include advanced air defence exercises, cross-deck helicopter operations and anti-submarine exercises. The participating forces will endeavour to hone their war-fighting skills and enhance their interoperability as an integrated force to promote peace, security and stability in the maritime domain,” a Navy statement said. Militaries of India and the U.S. have been holding regular exercises in all domains and even during the COVID-19 pandemic, have held passage exercises. “The exercise with the U.S. CSG will focus on multiple areas, including enhancing aspects of interoperability, nuances of international integrated maritime search and rescue operations and exchange of best practices in the maritime air power domain,” the IAF said. The multi-spectral capability of the IAF in the IOR also includes Humanitarian Assistance and Disaster Relief (HADR) missions and logistics support undertaken in support of friendly nations in the region, it added. ",https://www.thehindu.com/news/national/navy-iaf-begin-passage-exercise-with-us-carrier-group-in-indian-ocean/article34926577.ece,NEW DELHI:,"June 23, 2021 16:18 IST"
BJP got 76% of donations to parties by electoral trusts: ADR,"Over 76% of donations made by electoral trusts that submitted their annual reports for 2019-2020 to the Election Commission and declared to have received funding went to the Bharatiya Janata Party (BJP), an Association for Democratic Reforms (ADR) report said on Wednesday. Out of the 21 registered trusts, 14 submitted their annual reports to the EC and seven of those declared that they had received funds that were then given to parties, the ADR report said. The seven electoral trusts that were analysed received a total of ₹363.51 crore from various corporates and individuals. The trusts gave a total of ₹362.91 crore to political parties, the ADR report said. While the BJP got the largest share, the Congress received ₹31 crore, followed by the Aam Aadmi Party with ₹11.26 crore. Prudent Electoral Trust contributed ₹271.5 crore, Jankalyan Electoral Trust gave ₹70.95 crore and AB General Electoral Trust ₹10 crore. “JSW Steel Ltd. contributed the highest amount worth ₹39.10 crore amongst all donors of the electoral trusts, followed by Apollo Tyres Ltd. with ₹ 30 crore and Indiabulls Infraestate Ltd. which contributed ₹ 25 crore, to various trusts,” the report said. It added that Paribartan Electoral Trust declared ₹3 crore donation to a party through electoral bonds, but the name of the party was not mentioned. The ADR observed that with half the trusts that submitted their annual reports declaring nil contributions, it raised a question over the continued registration of such electoral trusts. ",https://www.thehindu.com/news/national/bjp-got-76-of-donations-to-parties-by-electoral-trusts-adr/article34923322.ece,NEW DELHI ,"June 23, 2021 14:06 IST"
"ED transfers assets of Vijay Mallya, Nirav Modi, Mehul Choksi worth ₹8,441.50 cr. to banks","The has transferred assets worth ₹8,441.50 crore to public sector banks that suffered losses to the tune of ₹22,585.83 crore due to frauds committed allegedly by , and . All three accused had fled overseas. The agency said it recently transferred attached shares worth ₹6,600 crore to a State Bank of India-led consortium as per an order of PMLA Special Court, Mumbai. On Wednesday, the Debt Recovery Tribunal, on behalf of the consortium, sold the shares of United Breweries Limited for ₹5,824.50 crore. Further realisation of ₹800 crore by sale of shares is expected by June 25. Owing to the help extended by the ED, the public sector banks had earlier recovered ₹1,357 crore by selling the shares. “Thus, the banks shall be realising a total amount of ₹9,041.50 crore through sale of a part of the assets attached/seized by the ED...,” said the agency. As on date, of the total attachment worth ₹18,170.02 crore, assets valued ₹329.67 crore have been confiscated and properties worth ₹9,041.50 crore — amounting to 40% of the total loss to the banks — have been handed over to them. Based on the cases registered by the Central Bureau of Investigation, the ED had taken up money laundering probe that helped unearth a complex web of domestic and international transactions and stashing of assets abroad by the accused persons and their associates. They had used dummy entities controlled by them for rotation and siphoning of the funds provided by the banks. As part of the investigation, the ED took steps to attach or seize assets worth ₹18,170.02 crore, which included properties worth ₹969 crore located in foreign countries. “The quantum of the attached and seized assets represents 80.45% of total bank loss of ₹ 22,585.83 crore,” said the agency. A substantial part of the assets in question was held in the name of dummy entities, trusts, third persons or relatives of these accused and these entities were their proxies for holding the properties. Prosecution complaints were filed against all the three accused after completion of the investigation under the . Extradition requests were sent for them to the United Kingdom (Mr. Mallya and Mr. Modi) and Antigua and Barbuda (Mr. Choksi). The extradition of Mr. Mallya has been ordered by the Westminster Magistrates Court and confirmed by the U.K. High Court. As he has been denied permission to file an appeal in the U.K. Supreme Court, his extradition to India has become final. However, the matter is pending with the U.K.'s Home Department for quite some time now. The Westminster Magistrates Court had also ordered the . After his arrest in 2019, on a request from the Indian authorities, he has been in judicial custody in a London jail for the last over two years. Mr. Choksi, who was recently after he disappeared from Antigua under mysterious circumstances, is also facing extradition proceedings. He has alleged that he was abducted by some persons. ",https://www.thehindu.com/news/national/ed-transfers-assets-of-vijay-mallya-nirav-modi-mehul-choksi-worth-844150-cr-to-banks/article34922424.ece,NEW DELHI: ,"June 23, 2021 12:17 IST"
India ranked 31 out of 46 countries on level of trust in news,"The Reuters Institute Digital News Report, 2021, to be released virtually on June 23, finds India ranked 31 out of 46 countries on levels of overall trust in news. Only 38% of the respondents from India said they trust news overall. Finland had the highest levels of overall trust in news (65%) while the U.S. had the lowest levels of trust (29%). The 10th edition of the report is based on an online survey of 46 media markets to understand how news is consumed in different countries. This is the first time India features in the main report. The Asian College of Journalism (ACJ) in Chennai collaborated with the Reuters Institute for the Study of Journalism (RISJ) at the University of Oxford on the report. “The ACJ provided support in identifying news brands and other specific details relevant for the Indian market in the survey questionnaire, verifying Hindi translation of the questionnaire, and contextualising the main findings for India in its country profile,” a press release said. The survey shows India is one of the strongest mobile-focused markets, with 73% of the respondents using smartphones to access news. Overall, 82% of the respondents said they source news online, including on social media, with WhatsApp and YouTube being the top go-to platforms. Concerns of rampant misinformation on these platforms were also high. Print media and government broadcasters score high on trust levels in the survey. However, print media suffered heavily from the economic slowdown due to the pandemic with decrease in advertisement revenues and circulation, resulting in job losses and salary cuts. This year’s report focuses on “trust in news, the pandemic induced economic pressure on news publishers, misinformation and COVID-19 and other aspects of digital news consumption among the public,” the release said. ",https://www.thehindu.com/news/national/india-ranked-31-out-of-46-countries-on-level-of-trust-in-news/article34921228.ece,,"June 23, 2021 10:06 IST"
